Name In Literature,Interpreted/Updated name,Literature
Cirsium occidentale,Cirsium occidentale,"Lopez, C. (2017) THE BEE FAUNA OF THE HORSE MOUTAIN AND GROUSE MOUNTAIN REGION, HUMBOLDT COUNTY, CALIFORNIA. thesis. Humboldt State University. "
Cirsium pumilum,Cirsium pumilum,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium terrae-nigrae,Cirsium engelmannii,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Cirsium undulatum,Cirsium undulatum,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Grindelia platyphylla,Grindelia platyphylla,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Helianthus annuus,Helianthus annuus,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Monardella sheltonii,Monardella sheltonii,"Lopez, C. (2017) THE BEE FAUNA OF THE HORSE MOUTAIN AND GROUSE MOUNTAIN REGION, HUMBOLDT COUNTY, CALIFORNIA. thesis. Humboldt State University. "
Penstemon sp.,Penstemon sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Penstemon cyananthus,Penstemon cyananthus,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Petrophytum,Petrophytum sp.,"Bohart, George E. and Knowlton, G. F., ""The Bees of Curlew Valley (Utah and Idaho)"" (1973). All PIRU Publications. Paper 790. https://digitalcommons.usu.edu/piru_pubs/790"
Rudbeckia sp.,Rudbeckia sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Solidago sp.,Solidago sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Solidago decumbens,Solidago glutinosa,"Bohart, George E. and Knowlton, G. F., ""The Bees of Curlew Valley (Utah and Idaho)"" (1973). All PIRU Publications. Paper 790. https://digitalcommons.usu.edu/piru_pubs/790"
Teucrium sp.,Teucrium sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Trifolium repens,Trifolium repens,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Trifolium pratense,Trifolium pratense,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
Verbena sp.,Verbena sp.,"LaBerge, W.E. (1956a) ‘A revision of the bees of the genus melissodes in north and Central America. part II (hymenoptera, Apidae)’, The University of Kansas science bulletin, 38(8), pp. 533–578. doi:10.5962/p.376392."
